PA,OAT,Weight,TQ,FF,IAS,TAS,TMP
16000,-46.708,8500,1520,315,215,256,-30
18000,-50.664,8500,1520,314,213,261,-30
20000,-54.62,8500,1520,315,211,267,-30
22000,-58.576,8500,1477,309,206,269,-30
24000,-62.532,8500,1341,282,196,265,-30
26000,-66.488,8500,1209,256,186,260,-30
28000,-70.444,8500,1089,232,176,255,-30
29000,-72.422,8500,1031,221,171,252,-30
0,-15.06,7500,1417,355,226,213,-30
2000,-19.016,7500,1448,349,226,219,-30
4000,-22.972,7500,1482,343,226,225,-30
6000,-26.928,7500,1520,340,226,232,-30
8000,-30.884,7500,1520,332,225,238,-30
10000,-34.84,7500,1520,325,223,242,-30
12000,-38.796,7500,1520,319,221,247,-30
14000,-42.752,7500,1520,316,219,253,-30
16000,-46.708,7500,1520,315,216,258,-30
18000,-50.664,7500,1520,314,214,263,-30
20000,-54.62,7500,1520,315,212,268,-30
22000,-58.576,7500,1477,309,208,271,-30
24000,-62.532,7500,1341,282,198,267,-30
26000,-66.488,7500,1209,256,188,263,-30
28000,-70.444,7500,1089,232,179,258,-30
29000,-72.422,7500,1031,221,174,256,-30
